	0
9	http://www.wfmu.org/playlists/shows/38069
10	http://www.wfmu.org/playlists/shows/37989
11	http://www.wfmu.org/playlists/shows/37945
12	http://www.wfmu.org/playlists/shows/37901
13	http://www.wfmu.org/playlists/shows/37868
14	http://www.wfmu.org/playlists/shows/37820
15	http://www.wfmu.org/playlists/shows/37776
16	http://www.wfmu.org/playlists/shows/37741
17	http://www.wfmu.org/playlists/shows/37650
18	http://www.wfmu.org/playlists/shows/37568
19	http://www.wfmu.org/playlists/shows/37517
20	http://www.wfmu.org/playlists/shows/37475
21	http://www.wfmu.org/playlists/shows/37392
22	http://www.wfmu.org/playlists/shows/37344
23	http://www.wfmu.org/playlists/shows/37298
24	http://www.wfmu.org/playlists/shows/37151
25	http://www.wfmu.org/playlists/shows/37114
26	http://www.wfmu.org/playlists/shows/37057
27	http://www.wfmu.org/playlists/shows/37033
28	http://www.wfmu.org/playlists/shows/36986
29	http://www.wfmu.org/playlists/shows/36948
30	http://www.wfmu.org/playlists/shows/36885
31	http://www.wfmu.org/playlists/shows/36859
32	http://www.wfmu.org/playlists/shows/36801
33	http://www.wfmu.org/playlists/shows/36777
34	http://www.wfmu.org/playlists/shows/36707
35	http://www.wfmu.org/playlists/shows/36693
36	http://www.wfmu.org/playlists/shows/36632
37	http://www.wfmu.org/playlists/shows/36605
38	http://www.wfmu.org/playlists/shows/36533
39	http://www.wfmu.org/playlists/shows/36520
40	http://www.wfmu.org/playlists/shows/36377
41	http://www.wfmu.org/playlists/shows/36345
42	http://www.wfmu.org/playlists/shows/36284
43	http://www.wfmu.org/playlists/shows/36252
44	http://www.wfmu.org/playlists/shows/36193
45	http://www.wfmu.org/playlists/shows/36163
46	http://www.wfmu.org/playlists/shows/35411
47	http://www.wfmu.org/playlists/shows/35912
48	http://www.wfmu.org/playlists/shows/35909
49	http://www.wfmu.org/playlists/shows/35833
50	http://www.wfmu.org/playlists/shows/35818
51	http://www.wfmu.org/playlists/shows/35765
52	http://www.wfmu.org/playlists/shows/35732
53	http://www.wfmu.org/playlists/shows/35672
54	http://www.wfmu.org/playlists/shows/35648
55	http://www.wfmu.org/playlists/shows/35585
56	http://www.wfmu.org/playlists/shows/35554
57	http://www.wfmu.org/playlists/shows/35488
58	http://www.wfmu.org/playlists/shows/35469
59	http://www.wfmu.org/playlists/shows/35409
60	http://www.wfmu.org/playlists/shows/35381
61	http://www.wfmu.org/playlists/shows/35301
62	http://www.wfmu.org/playlists/shows/35236
63	http://www.wfmu.org/playlists/shows/35224
64	http://www.wfmu.org/playlists/shows/35085
65	http://www.wfmu.org/playlists/shows/35061
66	http://www.wfmu.org/playlists/shows/35011
67	http://www.wfmu.org/playlists/shows/34985
68	http://www.wfmu.org/playlists/shows/34936
69	http://www.wfmu.org/playlists/shows/34908
70	http://www.wfmu.org/playlists/shows/34833
71	http://www.wfmu.org/playlists/shows/34819
72	http://www.wfmu.org/playlists/shows/34687
73	http://www.wfmu.org/playlists/shows/34663
74	http://www.wfmu.org/playlists/shows/34609
75	http://www.wfmu.org/playlists/shows/34578
76	http://www.wfmu.org/playlists/shows/34527
77	http://www.wfmu.org/playlists/shows/34499
78	http://www.wfmu.org/playlists/shows/34432
79	http://www.wfmu.org/playlists/shows/34416
80	http://www.wfmu.org/playlists/shows/34355
81	http://www.wfmu.org/playlists/shows/34339
82	http://www.wfmu.org/playlists/shows/34297
83	http://www.wfmu.org/playlists/shows/34261
0	http://www.wfmu.org/playlists/shows/43148
1	http://www.wfmu.org/playlists/shows/43095
2	http://www.wfmu.org/playlists/shows/43144
3	http://www.wfmu.org/playlists/shows/43097
4	http://www.wfmu.org/playlists/shows/43053
5	http://www.wfmu.org/playlists/shows/42996
6	http://www.wfmu.org/playlists/shows/42964
7	http://www.wfmu.org/playlists/shows/42807
8	http://www.wfmu.org/playlists/shows/42870
9	http://www.wfmu.org/playlists/shows/42806
10	http://www.wfmu.org/playlists/shows/42765
11	http://www.wfmu.org/playlists/shows/42700
12	http://www.wfmu.org/playlists/shows/42661
13	http://www.wfmu.org/playlists/shows/42613
14	http://www.wfmu.org/playlists/shows/42573
15	http://www.wfmu.org/playlists/shows/42479
16	http://www.wfmu.org/playlists/shows/42363
17	http://www.wfmu.org/playlists/shows/42362
18	http://www.wfmu.org/playlists/shows/42398
19	http://www.wfmu.org/playlists/shows/42361
20	http://www.wfmu.org/playlists/shows/42306
21	http://www.wfmu.org/playlists/shows/42240
22	http://www.wfmu.org/playlists/shows/42223
23	http://www.wfmu.org/playlists/shows/42177
24	http://www.wfmu.org/playlists/shows/42134
25	http://www.wfmu.org/playlists/shows/42092
26	http://www.wfmu.org/playlists/shows/42049
27	http://www.wfmu.org/playlists/shows/41623
28	http://www.wfmu.org/playlists/shows/41873
29	http://www.wfmu.org/playlists/shows/41622
30	http://www.wfmu.org/playlists/shows/41620
31	http://www.wfmu.org/playlists/shows/41690
32	http://www.wfmu.org/playlists/shows/41618
33	http://www.wfmu.org/playlists/shows/41589
34	http://www.wfmu.org/playlists/shows/41538
35	http://www.wfmu.org/playlists/shows/41495
36	http://www.wfmu.org/playlists/shows/41454
37	http://www.wfmu.org/playlists/shows/41410
38	http://www.wfmu.org/playlists/shows/41353
39	http://www.wfmu.org/playlists/shows/41320
40	http://www.wfmu.org/playlists/shows/41261
41	http://www.wfmu.org/playlists/shows/41233
42	http://www.wfmu.org/playlists/shows/41197
43	http://www.wfmu.org/playlists/shows/41171
44	http://www.wfmu.org/playlists/shows/41143
45	http://www.wfmu.org/playlists/shows/41082
46	http://www.wfmu.org/playlists/shows/41055
47	http://www.wfmu.org/playlists/shows/40936
48	http://www.wfmu.org/playlists/shows/40879
49	http://www.wfmu.org/playlists/shows/40844
50	http://www.wfmu.org/playlists/shows/40788
51	http://www.wfmu.org/playlists/shows/40448
52	http://www.wfmu.org/playlists/shows/40430
53	http://www.wfmu.org/playlists/shows/40372
54	http://www.wfmu.org/playlists/shows/40340
55	http://www.wfmu.org/playlists/shows/40269
56	http://www.wfmu.org/playlists/shows/40251
57	http://www.wfmu.org/playlists/shows/40177
58	http://www.wfmu.org/playlists/shows/40161
59	http://www.wfmu.org/playlists/shows/40111
60	http://www.wfmu.org/playlists/shows/40082
61	http://www.wfmu.org/playlists/shows/40005
62	http://www.wfmu.org/playlists/shows/39990
63	http://www.wfmu.org/playlists/shows/39923
64	http://www.wfmu.org/playlists/shows/39903
65	http://www.wfmu.org/playlists/shows/39862
66	http://www.wfmu.org/playlists/shows/39820
67	http://www.wfmu.org/playlists/shows/39760
68	http://www.wfmu.org/playlists/shows/39719
69	http://www.wfmu.org/playlists/shows/39582
70	http://www.wfmu.org/playlists/shows/39552
71	http://www.wfmu.org/playlists/shows/39518
72	http://www.wfmu.org/playlists/shows/39472
73	http://www.wfmu.org/playlists/shows/39389
74	http://www.wfmu.org/playlists/shows/39346
75	http://www.wfmu.org/playlists/shows/39306
76	http://www.wfmu.org/playlists/shows/39165
77	http://www.wfmu.org/playlists/shows/39137
78	http://www.wfmu.org/playlists/shows/39073
79	http://www.wfmu.org/playlists/shows/39041
80	http://www.wfmu.org/playlists/shows/38958
81	http://www.wfmu.org/playlists/shows/38904
82	http://www.wfmu.org/playlists/shows/38871
83	http://www.wfmu.org/playlists/shows/38804
84	http://www.wfmu.org/playlists/shows/38782
0	http://www.wfmu.org/playlists/shows/48779
1	http://www.wfmu.org/playlists/shows/48660
2	http://www.wfmu.org/playlists/shows/48648
3	http://www.wfmu.org/playlists/shows/48629
4	http://www.wfmu.org/playlists/shows/48377
5	http://www.wfmu.org/playlists/shows/48376
6	http://www.wfmu.org/playlists/shows/48278
7	http://www.wfmu.org/playlists/shows/48344
8	http://www.wfmu.org/playlists/shows/48277
9	http://www.wfmu.org/playlists/shows/48249
10	http://www.wfmu.org/playlists/shows/48121
11	http://www.wfmu.org/playlists/shows/48155
12	http://www.wfmu.org/playlists/shows/48119
13	http://www.wfmu.org/playlists/shows/48053
14	http://www.wfmu.org/playlists/shows/47981
15	http://www.wfmu.org/playlists/shows/47951
16	http://www.wfmu.org/playlists/shows/47886
17	http://www.wfmu.org/playlists/shows/47838
18	http://www.wfmu.org/playlists/shows/47791
19	http://www.wfmu.org/playlists/shows/47794
20	http://www.wfmu.org/playlists/shows/47729
21	http://www.wfmu.org/playlists/shows/47696
22	http://www.wfmu.org/playlists/shows/47641
23	http://www.wfmu.org/playlists/shows/47604
24	http://www.wfmu.org/playlists/shows/47537
25	http://www.wfmu.org/playlists/shows/47508
26	http://www.wfmu.org/playlists/shows/47350
27	http://www.wfmu.org/playlists/shows/47418
28	http://www.wfmu.org/playlists/shows/47349
29	http://www.wfmu.org/playlists/shows/47318
30	http://www.wfmu.org/playlists/shows/47266
31	http://www.wfmu.org/playlists/shows/47223
32	http://www.wfmu.org/playlists/shows/47164
33	http://www.wfmu.org/playlists/shows/47128
34	http://www.wfmu.org/playlists/shows/47081
35	http://www.wfmu.org/playlists/shows/47025
36	http://www.wfmu.org/playlists/shows/46971
37	http://www.wfmu.org/playlists/shows/46926
38	http://www.wfmu.org/playlists/shows/46861
39	http://www.wfmu.org/playlists/shows/46826
40	http://www.wfmu.org/playlists/shows/46786
41	http://www.wfmu.org/playlists/shows/46722
42	http://www.wfmu.org/playlists/shows/46555
43	http://www.wfmu.org/playlists/shows/46537
44	http://www.wfmu.org/playlists/shows/46489
45	http://www.wfmu.org/playlists/shows/46439
46	http://www.wfmu.org/playlists/shows/46373
47	http://www.wfmu.org/playlists/shows/46328
48	http://www.wfmu.org/playlists/shows/46264
49	http://www.wfmu.org/playlists/shows/46232
50	http://www.wfmu.org/playlists/shows/46191
51	http://www.wfmu.org/playlists/shows/46130
52	http://www.wfmu.org/playlists/shows/45238
53	http://www.wfmu.org/playlists/shows/45331
54	http://www.wfmu.org/playlists/shows/45298
55	http://www.wfmu.org/playlists/shows/45237
56	http://www.wfmu.org/playlists/shows/45206
57	http://www.wfmu.org/playlists/shows/45145
58	http://www.wfmu.org/playlists/shows/45110
59	http://www.wfmu.org/playlists/shows/45047
60	http://www.wfmu.org/playlists/shows/45012
61	http://www.wfmu.org/playlists/shows/44952
62	http://www.wfmu.org/playlists/shows/44918
63	http://www.wfmu.org/playlists/shows/44844
64	http://www.wfmu.org/playlists/shows/44823
65	http://www.wfmu.org/playlists/shows/44760
66	http://www.wfmu.org/playlists/shows/44729
67	http://www.wfmu.org/playlists/shows/44666
68	http://www.wfmu.org/playlists/shows/44631
69	http://www.wfmu.org/playlists/shows/44568
70	http://www.wfmu.org/playlists/shows/44534
71	http://www.wfmu.org/playlists/shows/44472
72	http://www.wfmu.org/playlists/shows/44442
73	http://www.wfmu.org/playlists/shows/44287
74	http://www.wfmu.org/playlists/shows/44286
75	http://www.wfmu.org/playlists/shows/44256
76	http://www.wfmu.org/playlists/shows/44162
77	http://www.wfmu.org/playlists/shows/44039
78	http://www.wfmu.org/playlists/shows/44071
79	http://www.wfmu.org/playlists/shows/44038
80	http://www.wfmu.org/playlists/shows/43977
81	http://www.wfmu.org/playlists/shows/43942
82	http://www.wfmu.org/playlists/shows/43879
83	http://www.wfmu.org/playlists/shows/43831
84	http://www.wfmu.org/playlists/shows/43788
85	http://www.wfmu.org/playlists/shows/43735
86	http://www.wfmu.org/playlists/shows/43680
87	http://www.wfmu.org/playlists/shows/43538
88	http://www.wfmu.org/playlists/shows/43537
89	http://www.wfmu.org/playlists/shows/43506
90	http://www.wfmu.org/playlists/shows/43449
91	http://www.wfmu.org/playlists/shows/43418
0	http://www.wfmu.org/playlists/shows/53811
1	http://www.wfmu.org/playlists/shows/53714
2	http://www.wfmu.org/playlists/shows/53722
3	http://www.wfmu.org/playlists/shows/53660
4	http://www.wfmu.org/playlists/shows/53613
5	http://www.wfmu.org/playlists/shows/53465
6	http://www.wfmu.org/playlists/shows/53425
7	http://www.wfmu.org/playlists/shows/53351
8	http://www.wfmu.org/playlists/shows/53330
9	http://www.wfmu.org/playlists/shows/53283
10	http://www.wfmu.org/playlists/shows/53235
11	http://www.wfmu.org/playlists/shows/53082
12	http://www.wfmu.org/playlists/shows/53038
13	http://www.wfmu.org/playlists/shows/52980
